,Year,Commodity Group,C03409V04104,Country,UNIT,VALUE
77736,2000,Meat and meat preparations (01),KR,South Korea,Euro Thousand,310.0
77737,2000,Meat and meat preparations (01),LT,Lithuania,Euro Thousand,0.0
77738,2000,Meat and meat preparations (01),LU,Luxembourg,Euro Thousand,0.0
77739,2000,Meat and meat preparations (01),LV,Latvia,Euro Thousand,0.0
77740,2000,Meat and meat preparations (01),MT,Malta,Euro Thousand,7434.0
77741,2000,Meat and meat preparations (01),MX,Mexico,Euro Thousand,28.0
77742,2000,Meat and meat preparations (01),MY,Malaysia,Euro Thousand,56.0
77743,2000,Meat and meat preparations (01),NL,Netherlands,Euro Thousand,96763.0
77744,2000,Meat and meat preparations (01),NO,Norway,Euro Thousand,3.0
77745,2000,Meat and meat preparations (01),PL,Poland,Euro Thousand,1539.0
77746,2000,Meat and meat preparations (01),PT,Portugal,Euro Thousand,16683.0
77747,2000,Meat and meat preparations (01),RO,Romania,Euro Thousand,38.0
77748,2000,Meat and meat preparations (01),RU,Russia,Euro Thousand,21631.0
77749,2000,Meat and meat preparations (01),SA,Saudi Arabia,Euro Thousand,33198.0
77750,2000,Meat and meat preparations (01),SE,Sweden,Euro Thousand,34569.0
77751,2000,Meat and meat preparations (01),SG,Singapore,Euro Thousand,173.0
77752,2000,Meat and meat preparations (01),SI,Slovenia,Euro Thousand,154.0
77753,2000,Meat and meat preparations (01),SK,Slovakia,Euro Thousand,0.0
77754,2000,Meat and meat preparations (01),TH,Thailand,Euro Thousand,0.0
77755,2000,Meat and meat preparations (01),TR,Turkey,Euro Thousand,0.0
77756,2000,Meat and meat preparations (01),TW,Taiwan,Euro Thousand,77.0
77757,2000,Meat and meat preparations (01),US,USA,Euro Thousand,8150.0
77758,2000,Meat and meat preparations (01),XB,Great Britain,Euro Thousand,567461.0
77759,2000,Meat and meat preparations (01),XI,Northern Ireland,Euro Thousand,108261.0
77760,2000,Meat and meat preparations (01),ZA,South Africa,Euro Thousand,4187.0
77761,2000,Meat and meat preparations (01),ZZEU99,EU country not specified,Euro Thousand,107.0
77762,2000,Meat and meat preparations (01),ZZWORX27,Other countries,Euro Thousand,203756.0
77763,2000,Dairy products and birds eggs (02),AT,Austria,Euro Thousand,876.0
77764,2000,Dairy products and birds eggs (02),AU,Australia,Euro Thousand,3.0
77765,2000,Dairy products and birds eggs (02),BE,Belgium,Euro Thousand,78415.0
77766,2000,Dairy products and birds eggs (02),BG,Bulgaria,Euro Thousand,2.0
77767,2000,Dairy products and birds eggs (02),BR,Brazil,Euro Thousand,872.0
77768,2000,Dairy products and birds eggs (02),CA,Canada,Euro Thousand,321.0
77769,2000,Dairy products and birds eggs (02),CH,Switzerland,Euro Thousand,134.0
77770,2000,Dairy products and birds eggs (02),CN,China,Euro Thousand,5931.0
77771,2000,Dairy products and birds eggs (02),CY,Cyprus,Euro Thousand,695.0
77772,2000,Dairy products and birds eggs (02),CZ,Czech Republic,Euro Thousand,1.0
77773,2000,Dairy products and birds eggs (02),DE,Germany,Euro Thousand,149852.0
77774,2000,Dairy products and birds eggs (02),DK,Denmark,Euro Thousand,23179.0
77775,2000,Dairy products and birds eggs (02),EE,Estonia,Euro Thousand,0.0
77776,2000,Dairy products and birds eggs (02),ES,Spain,Euro Thousand,10923.0
